Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Extraversion,8,438,0.995,0.989,0.929,0.9,0.305,0.014,833.661,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Neuroticism,8,438,0.996,0.997,0.961,0.945,0.229,0.005,477.873,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Openness,8,438,0.985,0.983,0.889,0.845,0.297,0.025,791.241,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Agreeableness,8,438,0.966,0.898,0.601,0.441,0.607,0.141,3244.266,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Conscientiousness,8,438,0.98,0.976,0.854,0.796,0.398,0.03,1409.292,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Extraversion,8,438,0.996,0.999,0.949,0.928,0.287,0.003,741.86,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Neuroticism,8,438,0.953,0.98,0.777,0.688,0.429,0.116,1628.752,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Openness,8,438,0.958,0.972,0.754,0.655,0.413,0.09,1513.545,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.862,0.775,0.796,0.715,0.249,0.174,562.116,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.935,0.915,0.712,0.596,0.359,0.139,1147.917,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.984,0.984,0.928,0.899,0.255,0.028,587.55,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.813,0.262,0.362,0.107,0.409,0.285,1484.583,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.89,0.882,0.831,0.764,0.221,0.115,449.043,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Agreeableness,8,438,0.921,0.915,0.685,0.559,0.369,0.094,1211.473,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Conscientiousness,8,438,0.911,0.89,0.745,0.642,0.317,0.108,901.914,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Extraversion,8,438,0.959,0.962,0.903,0.864,0.22,0.035,444.58,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Neuroticism,8,438,0.896,0.596,0.674,0.543,0.386,0.206,1327.828,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Openness,8,438,0.887,0.67,0.54,0.356,0.567,0.255,2841.068,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Agreeableness,8,438,0.908,0.896,0.755,0.658,0.275,0.094,682.442,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Conscientiousness,8,438,0.877,0.869,0.725,0.615,0.272,0.106,666.705,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Extraversion,8,438,0.932,0.886,0.866,0.812,0.227,0.092,471.319,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Neuroticism,8,438,0.835,0.412,0.584,0.417,0.329,0.243,966.097,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Openness,8,438,0.869,0.627,0.508,0.312,0.528,0.242,2458.434,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4o_temp1_0,Agreeableness,8,438,0.942,0.946,0.824,0.754,0.278,0.07,695.865,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4o_temp1_0,Conscientiousness,8,438,0.925,0.926,0.84,0.776,0.243,0.075,536.439,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4o_temp1_0,Extraversion,8,438,0.96,0.953,0.821,0.75,0.318,0.049,906.419,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4o_temp1_0,Neuroticism,8,438,0.928,0.817,0.716,0.603,0.355,0.131,1122.56,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4o_temp1_0,Openness,8,438,0.894,0.701,0.542,0.359,0.498,0.224,2189.522,20,0
STUDY_2,expanded,bfi_to_minimarker_llama_temp1_0,Agreeableness,8,438,0.941,0.944,0.725,0.615,0.369,0.083,1209.565,20,0
STUDY_2,expanded,bfi_to_minimarker_llama_temp1_0,Conscientiousness,8,438,0.937,0.929,0.79,0.707,0.32,0.081,915.885,20,0
STUDY_2,expanded,bfi_to_minimarker_llama_temp1_0,Extraversion,8,438,0.965,0.962,0.921,0.889,0.217,0.029,433.743,20,0
STUDY_2,expanded,bfi_to_minimarker_llama_temp1_0,Neuroticism,8,438,0.89,0.601,0.586,0.42,0.432,0.212,1656.898,20,0
STUDY_2,expanded,bfi_to_minimarker_llama_temp1_0,Openness,8,438,0.899,0.728,0.536,0.351,0.482,0.205,2053.834,20,0
STUDY_2,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.904,0.846,0.733,0.626,0.316,0.183,895.405,20,0
STUDY_2,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.922,0.92,0.708,0.592,0.32,0.102,916.006,20,0
STUDY_2,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.956,0.898,0.836,0.771,0.29,0.101,754.333,20,0
STUDY_2,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.828,0.286,0.419,0.187,0.431,0.321,1646.451,20,0
STUDY_2,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.854,0.725,0.496,0.295,0.418,0.177,1551.012,20,0
STUDY_2,likert,bfi_to_minimarker_deepseek,Agreeableness,8,438,0.926,0.895,0.791,0.708,0.289,0.092,754.105,20,0
STUDY_2,likert,bfi_to_minimarker_deepseek,Conscientiousness,8,438,0.893,0.889,0.705,0.586,0.291,0.107,759.825,20,0
STUDY_2,likert,bfi_to_minimarker_deepseek,Extraversion,8,438,0.938,0.868,0.851,0.791,0.257,0.095,596.41,20,0
STUDY_2,likert,bfi_to_minimarker_deepseek,Neuroticism,8,438,0.892,0.606,0.719,0.607,0.345,0.193,1062.647,20,0
STUDY_2,likert,bfi_to_minimarker_deepseek,Openness,8,438,0.913,0.849,0.53,0.342,0.506,0.145,2266.873,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4,Agreeableness,8,438,0.912,0.829,0.813,0.738,0.253,0.114,578.754,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4,Conscientiousness,8,438,0.864,0.763,0.691,0.567,0.264,0.141,631.952,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4,Extraversion,8,438,0.918,0.867,0.87,0.818,0.207,0.098,395.06,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4,Neuroticism,8,438,0.852,0.842,0.61,0.454,0.298,0.167,798.209,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4,Openness,8,438,0.824,0.359,0.581,0.413,0.414,0.277,1520.884,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4o,Agreeableness,8,438,0.94,0.933,0.778,0.689,0.312,0.08,873.354,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4o,Conscientiousness,8,438,0.921,0.894,0.797,0.716,0.263,0.08,626.561,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4o,Extraversion,8,438,0.956,0.932,0.86,0.804,0.272,0.067,668.015,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4o,Neuroticism,8,438,0.914,0.892,0.704,0.586,0.334,0.125,1000.006,20,0
STUDY_2,likert,bfi_to_minimarker_gpt_4o,Openness,8,438,0.918,0.867,0.586,0.421,0.433,0.138,1659.832,20,0
STUDY_2,likert,bfi_to_minimarker_llama,Agreeableness,8,438,0.953,0.928,0.738,0.633,0.372,0.096,1232.206,20,0
STUDY_2,likert,bfi_to_minimarker_llama,Conscientiousness,8,438,0.929,0.945,0.794,0.712,0.283,0.082,723.882,20,0
STUDY_2,likert,bfi_to_minimarker_llama,Extraversion,8,438,0.949,0.921,0.866,0.813,0.248,0.071,558.964,20,0
STUDY_2,likert,bfi_to_minimarker_llama,Neuroticism,8,438,0.916,0.919,0.698,0.578,0.363,0.113,1176.544,20,0
STUDY_2,likert,bfi_to_minimarker_llama,Openness,8,438,0.941,0.922,0.601,0.441,0.465,0.126,1914.5,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Agreeableness,8,438,0.834,0.592,0.626,0.477,0.373,0.288,1236.72,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Conscientiousness,8,438,0.834,0.703,0.616,0.462,0.292,0.197,767.389,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Extraversion,8,438,0.82,0.718,0.376,0.126,0.405,0.236,1460.383,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Neuroticism,8,438,0.742,0.51,0.749,0.648,0.294,0.198,775.234,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Openness,8,438,0.843,0.841,0.661,0.525,0.307,0.127,846.061,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Agreeableness,8,438,0.976,0.898,0.697,0.576,0.566,0.118,2822.896,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Conscientiousness,8,438,0.983,0.987,0.849,0.789,0.391,0.025,1356.576,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Extraversion,8,438,0.996,0.996,0.878,0.829,0.429,0.007,1630.11,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Neuroticism,8,438,0.982,0.989,0.857,0.8,0.395,0.033,1384.598,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Openness,8,438,0.975,0.962,0.771,0.68,0.445,0.068,1754.923,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Agreeableness,8,438,0.98,0.975,0.949,0.929,0.189,0.027,333.683,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Conscientiousness,8,438,0.988,0.992,0.98,0.972,0.144,0.007,202.22,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Extraversion,8,438,0.995,0.996,0.971,0.959,0.186,0.005,323.246,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Neuroticism,8,438,0.961,0.947,0.831,0.764,0.375,0.145,1253.61,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Openness,8,438,0.972,0.974,0.933,0.907,0.199,0.028,365.43,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Agreeableness,8,438,0.977,0.963,0.84,0.775,0.33,0.056,975.38,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Conscientiousness,8,438,0.988,0.988,0.962,0.946,0.196,0.015,357.768,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Extraversion,8,438,0.995,0.989,0.929,0.9,0.305,0.014,833.661,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Neuroticism,8,438,0.996,0.997,0.961,0.945,0.229,0.005,477.873,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Openness,8,438,0.985,0.983,0.889,0.845,0.297,0.025,791.241,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Agreeableness,8,438,0.966,0.898,0.601,0.441,0.607,0.141,3244.266,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Conscientiousness,8,438,0.98,0.976,0.854,0.796,0.398,0.03,1409.292,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Extraversion,8,438,0.996,0.999,0.949,0.928,0.287,0.003,741.86,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Neuroticism,8,438,0.953,0.98,0.777,0.688,0.429,0.116,1628.752,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Openness,8,438,0.958,0.972,0.754,0.655,0.413,0.09,1513.545,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.862,0.775,0.796,0.715,0.249,0.174,562.116,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.935,0.915,0.712,0.596,0.359,0.139,1147.917,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.984,0.984,0.928,0.899,0.255,0.028,587.55,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.813,0.262,0.362,0.107,0.409,0.285,1484.583,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.89,0.882,0.831,0.764,0.221,0.115,449.043,20,0
